Lang	Train	Dev	Tests
lbe	OPUS_wikimedia_v20190628		
ldn	OPUS_Tatoeba_v20190709		
lez	OPUS_wikimedia_v20190628		
lfn	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lij	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lim	"OPUS_GNOME_v1, , OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
lin	"JW300,  OPUS_Tatoeba_v20190709"		
lit	"EESC2017, rapid2016, EMA2016, europarl_v10,  OPUS_DGT_v2019, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	"newsdev2019_lten, OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	newstest2019_lten
liv	OPUS_Tatoeba_v20190709		
lkt	 OPUS_Tatoeba_v20190709		
lld	 OPUS_Tatoeba_v20190709		
lmo	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
loz	JW300		
lrc	OPUS_wikimedia_v20190628		
lsp	JW300		
ltz	"  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, WikiMatrix_v1"		
lua	JW300		
lub	JW300		
lue	JW300		
lug	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
lun	JW300		
luo	"JW300, "		
lus	JW300		
lzh	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
mad	 OPUS_Tatoeba_v20190709		
mah	"JW300, OPUS_Tatoeba_v20190709"		
mai	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
mal	"JW300,OPUS_Tatoeba_v20190709,JoshuaIndianCorpus_training,pmindia_v1, OPUS_Tanzil_v1, OPUS100v1_train, WikiMatrix_v1"	"JoshuaIndianCorpus_dev, OPUS100v1_dev, OPUS100v1_test"	JoshuaIndianCorpus_test
mam	"JW300, OPUS_bible_uedin_v1"		
mar	"JW300,   OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628, pmindia_v1, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mau	JW300		
max	OPUS_Tatoeba_v20190709		
mco	JW300		
mdf	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
men	JW300		
mfe	"JW300,  OPUS_Tatoeba_v20190709"		
mfs	JW300		
mgm	OPUS_Tatoeba_v20190709		
mgr	JW300		
mhr	OPUS_Tatoeba_v20190709		
mic	OPUS_Tatoeba_v20190709		
min	"OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628"		
miq	OPUS_Ubuntu_v14_10		
mkd	"GlobalVoices_2018Q4, OPUS_SETIMES_v2, OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1, neulab_tedtalksv1_train"	", OPUS100v1_dev, OPUS100v1_test, neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mlg	"GlobalVoices_2018Q4, JW300, OPUS_GlobalVoices_v2017q3,  OPUS_Tatoeba_v20190709, OPUS100v1_train, WikiMatrix_v1"	", OPUS100v1_dev, OPUS100v1_test"	
mlt	"EESC2017, EMA2016, rapid2016, OPUS_DGT_v2019, OPUS_EMEA_v3, OPUS_EUbookshop_v2, OPUS100v1_train"	", OPUS100v1_dev, OPUS100v1_test"	
mni	pmindia_v1		
mnw	OPUS_Tatoeba_v20190709		
mon	"JW300,  OPUS_Tatoeba_v20190709, OPUS_wikimedia_v20190628, OPUS100v1_train, neulab_tedtalksv1_train"	", neulab_tedtalksv1_dev, neulab_tedtalksv1_test"	
mos	"JW300, "		
mri	"OPUS_GNOME_v1,  OPUS_Tatoeba_v20190709, OPUS_bible_uedin_v1, OPUS_wikimedia_v20190628"		
mrj	OPUS_wikimedia_v20190628		
